Iteration,BlockID,gen[B],kill[B],in[B],out[B]
3,18,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,19,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,20,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,21,{D5},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,22,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,23,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,24,{},{},{},{}
3,25,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,26,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,27,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,28,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,29,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,30,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,31,{},{},{},{}
3,32,{},{},{},{}
3,33,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,34,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,35,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
3,36,{},{},"{D1, D2, D3, D4, D5, D6, D7, D8}","{D1, D2, D3, D4, D5, D6, D7, D8}"
