ID,type,statement_count,statements,sequential_edges,true_edges,false_edges,back_edges,break_edges
97,sequential,1,"printf(""Account No: %d\nName: %s\nBalance: %.2lf\n"", accounts[i].acc_no, accounts[i].name, accounts[i].balance) ;",98,,,,
98,sequential,1,break ;,,,,,101
99,sequential,0,,100,,,,
100,sequential,0,,101,,,94,
101,sequential,0,,102,,,,
102,conditional check,1,if(i==count),,103,104,,
103,sequential,1,"printf(""Account not found!\n"") ;",104,,,,
104,sequential,0,,105,,,,
105,sequential,1,break ;,,,,,135
106,sequential,0,,107,,,,
107,sequential,0,,,,,,
108,case_block,2,"case 7: | printf(""All Accounts:\n"") ;",109,,,,
109,loop check,1,for(i=0 ;i<count ;i++),,110,,,
110,sequential,1,"printf(""Acc: %d, Name: %s, Balance: %.2lf\n"", accounts[i].acc_no, accounts[i].name, accounts[i].balance) ;",111,,,109,
111,sequential,0,,112,,,,
112,sequential,1,break ;,,,,,135
113,sequential,0,,114,,,,
114,sequential,0,,,,,,
115,case_block,4,"case 8: | double rate ; | printf(""Enter interest rate in %%: "") ; | scanf(""%lf"", &rate) ;",116,,,,
116,loop check,1,for(i=0 ;i<count ;i++),,117,,,
117,sequential,1,accounts[i].balance += (accounts[i].balance * rate / 100.0) ;,118,,,116,
118,sequential,1,"printf(""Interest applied.\n"") ;",119,,,,
119,sequential,1,break ;,,,,,135
120,sequential,0,,121,,,,
121,sequential,0,,,,,,
122,case_block,2,"case 9: | printf(""Monthly Statement:\n"") ;",123,,,,
123,loop check,1,for(i=0 ;i<count ;i++),,124,,,
124,sequential,1,"printf(""Acc: %d, Name: %s, Balance: %.2lf\n"", accounts[i].acc_no, accounts[i].name, accounts[i].balance) ;",125,,,123,
125,sequential,0,,126,,,,
126,sequential,1,break ;,,,,,135
127,sequential,0,,128,,,,
128,sequential,0,,,,,,
129,case_block,2,"case 0: | printf(""Exiting...\n"") ;",130,,,,
130,sequential,1,break ;,,,,,135
131,sequential,0,,132,,,,
132,sequential,0,,,,,,
133,default_block,2,"default: | printf(""Invalid choice!\n"") ;",134,,,,
134,sequential,0,,135,,,,
135,sequential,0,,136,,,2,
136,sequential,0,,137,,,,
137,sequential,1,Exit,,,,,
